ACN,Party1_Role,Party2_Role,objective_summary,label
1754082,Flight Attendant,Flight Attendant,"The incident occurred between two flight attendants (FA1 and FA2) during a flight. FA1 locked the lavatory and blocked the jumpseat area with a curtain, citing discomfort near passengers. FA2 objected, explaining that such measures were only justified for wheelchair passengers. FA1 contacted the captain, attributing the issue to FA2. Despite FA2 informing the captain, FA1 persisted. FA2 suggested that if FA1 felt unsafe, he should not be there, emphasizing the need to ensure passenger comfort. The situation remained unresolved, with no proposed solution, highlighting the conflict over passenger access and crew comfort.",passenger-related issues
1754089,Flight Attendant,Other,"A flight attendant encountered a passenger who repeatedly failed to comply with mask-wearing regulations and other cabin behavior guidelines. The passenger, identified as X, was reminded multiple times before takeoff to stow her belongings and wear her mask. During the flight, Passenger X disregarded these instructions, lying across seats and removing her mask. She also engaged in painting her toenails, despite being asked to stop due to fumes bothering others. When addressed, Passenger X became confrontational, raising her voice and refusing to comply. The flight attendant and crew, including the Chief Attendant, took steps to mitigate the situation, offering alternative seating to affected passengers. Passenger X eventually complied with mask requirements for the remainder of the flight but quickly left the aircraft upon landing. The flight attendant emphasized that such behavior should not be tolerated, prioritizing the comfort and safety of all passengers and crew.",passenger-related issues
1754497,Flight Attendant,Other,"The incident occurred when a flight attendant briefed an exit row with one passenger. After completing her pre-departure checks, she noticed a woman had moved into the exit row without prior communication. The attendant asked the woman about her movement, who admitted doing so after the attendant had passed. The woman was then instructed to return to her original seat, which she did. The flight attendant expressed concern about controlling such situations, attributing it to passengers seeking more space due to COVID-19, but acknowledged difficulty in managing these instances when not informed directly.",passenger-related issues
1755142,Flight Attendant,Other,"The incident occurred during a flight when a passenger refused to wear a face mask despite being requested to do so by the flight attendant and another crew member. The passenger initially boarded the aircraft wearing a mask but removed it during the flight. The flight attendant reminded the passenger that wearing a face mask was part of the safety protocols in place due to the ongoing global pandemic. The passenger stated that she could not wear the mask for an extended period. The flight attendant emphasized the importance of compliance for the safety and well-being of all passengers and crew. The passenger continued to refuse, citing discomfort. The flight attendant suggested that a medical exemption would require a medical clearance from a doctor and a negative COVID-19 test within 72 hours of the flight. Despite these efforts, the passenger did not comply, resulting in the flight attendant having to repeatedly attend to her requests for assistance.",passenger-related issues
1755701,Flight Attendant,Other,"The incident involved a passenger who refused to wear a face mask during a flight, despite being informed of the airline's mask policy by both the flight attendant and the gate agent. The passenger, traveling with a pet, became agitated and loudly protested, claiming the virus was a political hoax and insisting she did not need to wear a mask. After customer service intervened, the passenger agreed to wear the mask and was allowed to deplane. The situation was resolved without further escalation, but the airline suggested implementing measures such as ensuring all passengers comply with mask policies before boarding and making announcements about the policy during the flight. Additionally, it was recommended that flights be prepared to return to the gate if passengers refuse to comply with safety regulations.",passenger-related issues
1757580,Flight Attendant,Other,"The incident occurred on Aircraft X during a flight when passengers removed their face masks immediately after boarding and drank water throughout the flight, violating the face mask policy. The flight attendant, Party1, observed this behavior but initially chose not to intervene. However, during the cabin preparation for landing, which was expedited due to anticipated turbulence, the flight attendant noticed one passenger had moved seats to sit with a friend. She was concerned about approaching the passenger safely, given the proximity to landing. The flight attendant sought advice on how to handle passengers who refuse to comply with mask policies.",passenger-related issues
1757583,Flight Attendant,Other,"The incident occurred when a passenger failed to comply with the face mask policy on a flight. A gate agent in ZZZ informed the flight attendant about the passenger's non-compliance. The passenger intermittently wore a handkerchief as a mask but often let it fall, especially when the gate agent was not present. The flight attendant addressed the passenger before departure, explaining the policy and the risk of denied boarding. The passenger argued he was eating and only needed to wear the mask when not eating, continuing to keep it down during the flight. Despite repeated warnings, the passenger persisted, leading the flight attendant to inform him of potential denial of his connecting flight. The passenger protested, claiming interference with his rights, but the flight attendant stated the company's right to deny passage. The passenger eventually chose not to continue his journey, resulting in his denial of boarding. The outcome was the passenger's decision to not proceed to ZZZ, traveling with a woman and two children.",passenger-related issues
1758346,Flight Attendant,Flight Attendant,"The incident involved a conflict between two flight attendants regarding a passenger's non-compliance with the face mask policy during a flight. The passenger claimed to have a medical condition that prevented him from wearing a mask, but this was not documented in the crew's records. The flight attendant reminded the passenger of the policy, but he remained non-compliant. The breakdown in the situation was attributed to a lack of effective Crew Resource Management (CRM). The flight attendant suggested that medical notes from the passenger's doctor should be considered to resolve the issue.",passenger-related issues
1758920,Flight Crew,Flight Attendant,"The incident involved a conflict between a flight attendant (FA) and the flight crew of an air carrier. The FA reported being distracted during takeoff due to addressing passengers' improper mask usage, which prevented him from securing the galley and completing his pre-departure tasks. The FA spilled coffee on his electronic devices but was not physically injured. The flight crew acknowledged the issue and expressed that the FA should have focused on pre-takeoff preparations rather than mask compliance at that time. The flight crew also admitted to failing to monitor the cabin chime and the FA's public address announcement, contributing to the oversight. As a result, the flight crew resolved to be more diligent in adhering to protocols and monitoring cabin communications in the future.",passenger-related issues
1759518,Flight Attendant,Other,"A flight attendant (Party1) observed Passenger X boarding with a mask that was not properly covering his nose. Passenger X initially complied with requests to adjust his mask but repeatedly disregarded the policy during the flight. Despite multiple reminders and being shown the policy in writing, Passenger X continued to lower his mask, claiming inability to breathe and accusing discrimination due to his tattoos. Another passenger, Passenger Y, supported Passenger X's claim, suggesting the flight attendant was targeting him unfairly. The flight attendant informed the captain, who made a cabin announcement about the mask policy. Repeated non-compliance led to a report to the captain, resulting in ground agents being alerted upon landing. Passenger Y's intervention indicated discomfort among other passengers. The flight attendant proposed an explicit announcement at the boarding gate to clarify mask policies and potential bans for non-compliance. Passenger X's non-compliance and allegations of discrimination were addressed through repeated reminders, policy review, and a cabin announcement. The situation remained unresolved, prompting ground intervention and a proposed boarding gate announcement to reinforce mask policies.",passenger-related issues
1760561,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger regarding the use of face masks on board an aircraft. The passenger, who had initially boarded the flight wearing a neck/face mask, removed it during the flight and switched to a white mask with a filter valve. This mask was connected to a powered air filter that the passenger wore around their neck. The flight attendant advised the passenger that they could not use the mask with a valve or the air filter, as these were not approved for use on the aircraft. The passenger disputed this, claiming they had been told by reservations that it was acceptable. The attendant attempted to resolve the issue by showing the passenger the airline's policy on face masks, which explicitly prohibited the use of masks with valves. The passenger took a photo of the policy but continued to use the unapproved mask. During the interaction, the passenger's companion complied by switching back to their original neck/face mask, but the passenger did not. As the flight neared its end, the passenger removed the unapproved mask and switched back to their original neck/face mask before deplaning. The flight attendant documented the incident as a report of passengers wearing non-approved face masks. No formal resolution was reached, and the passenger ultimately refused to comply with the attendant's instructions, resulting in a delay in the departure process.",passenger-related issues
1761688,Flight Attendant,Flight Crew,"During the descent into DFW, a wheelchair passenger (Passenger A) used the forward lavatory. Flight Attendants (FAs) repeatedly instructed her to return to her seat as landing approached, but she was unable to do so in time. With landing imminent, the decision was made for her to remain in the lavatory for safety. The flight landed safely, and the passenger exited the lavatory on her own, apologizing and explaining that she had been getting sick. The Captain was informed, and he emphasized the need for documentation. The incident was resolved without further complications, with the flight attendants ensuring the passenger's well-being and compliance with safety protocols.",passenger-related issues
1762281,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and other parties, likely passengers, during a flight. The flight attendant reported that the majority of passengers were not complying with the face mask policy, as 95% had their masks removed while the attendant was collecting trash and providing food and beverage service. Passengers were observed talking, eating, and requesting items without their masks on, despite numerous announcements reminding them to wear masks during service. The flight attendant highlighted that enforcing safety guidelines, such as maintaining a 6-foot distance and ensuring mask compliance, was challenging and often impossible during food and beverage service. The attendant expressed concerns about prioritizing passenger comfort and convenience over safety, emphasizing the need to protect front-line employees during the COVID-19 pandemic. The reported incident underscores the risks faced by flight attendants when balancing service duties with safety protocols. A proposed solution, as implied by the flight attendant, is to prioritize employee safety over food and beverage service, aligning with established safety guidelines.",passenger-related issues
1762945,Flight Attendant,Other,"The incident involved a passenger, identified as Passenger X, who repeatedly failed to comply with the airline's COVID-19 face mask policy during a flight. The flight attendant (Party1) instructed Passenger X multiple times to wear his mask, as required by company and CDC guidelines. Despite initial compliance, Passenger X removed his mask several times during the flight, including after being provided with a new mask by the flight attendant. The flight attendant issued a final warning to Passenger X, explaining that further non-compliance would result in reporting and potential banning from the airline. Despite this, Passenger X continued to remove his mask, including during final descent and after being reminded to keep his mask on as the plane taxied to the gate. The flight attendant reported the situation to the Customer Service Agent upon arrival, and the passenger was warned that he would be reported for violating the mask policy. Passenger X was ultimately reported for his repeated non-compliance with the mask mandate.",passenger-related issues
1762952,Flight Attendant,Other,"The incident involved a flight attendant (Party1) and other passengers (Party2). The flight attendant reported that many passengers, particularly in the first ten rows, were not wearing face masks properly, with the masks positioned below their noses. As a result, the flight attendant had to make additional announcements and issue reminders. Eventually, the flight attendant stopped counting the number of passengers who were not adhering to the face mask policy, as the issue continued to persist during the flight. No specific solution was proposed in the context of the incident.",passenger-related issues
1762964,Flight Attendant,Other,"The incident occurred when a family, part of a group of nine, did not comply with the face mask policy on a flight despite being requested multiple times by the flight attendant. The attendant reported the situation to the authorities. No specific resolution or proposed solution was mentioned in the context.",passenger-related issues
1763130,Flight Attendant,Other,"The event involved a conflict between a Flight Attendant and another party. The Flight Attendant reported difficulty maintaining social distancing while at their jumpseat, citing distractions from other passengers' requests and efforts to comply with social distancing requirements. The Flight Attendant mentioned feeling overwhelmed and attempting to slow down when they perceived themselves to be in a heightened stress zone. No solution was explicitly proposed in the context.",passenger-related issues
1763132,Flight Attendant,Other,"A passenger, identified as X1, did not adhere to the face mask and cell phone policies during a flight. The flight attendant (FA) reminded X1 about the mask policy at the gate and during boarding. Despite these reminders, X1 continued to use his phone during the safety demonstration and ignored mask guidelines when eating or drinking. He exhibited rude behavior, became loud, and used profanity. Upon landing, he refused to follow deplaning instructions and stormed off the aircraft. The non-revenue flight attendant commended the FA's handling of the situation. The FA informed the flight deck and filed a report regarding the incident. This summary captures the event's key points neutrally and succinctly.",passenger-related issues
1763134,Flight Attendant,Other,"The incident occurred when a flight attendant noticed a passenger, identified as Passenger in XX2, not wearing a face mask during the flight. The attendant approached the passenger, who was asleep, and attempted to enforce the face mask policy. The passenger responded by explaining that he had recently undergone surgery on his nose for cancer and that wearing a mask caused him pain. Despite the attendant's apologies and attempts to explain the policy, the passenger became increasingly argumentative. Recognizing that the situation was escalating and could potentially lead to further conflict, the attendant decided to discontinue the conversation. The attendant then informed another flight attendant, A, about the situation. Together, they concluded that issuing a warning to the passenger might escalate the situation further, especially since there were only 40 minutes of flight time remaining. No other passengers had raised complaints about the individual at that point. The flight attendant ultimately chose not to take further action, opting instead to monitor the situation and address it only if a complaint was received.",passenger-related issues
1763759,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger. During the taxi-out phase, a 4-year-old passenger refused to wear a seatbelt and a face mask. The child's parents attempted to enforce compliance but were unsuccessful. The flight attendant intervened, asking the mother for the child's age and informing her that the child also needed to wear a face mask. The mother responded dismissively. Another flight attendant also attempted to resolve the issue without success. The flight attendant informed the captain, and the other flight attendant warned the parents that the aircraft would have to return to the gate if they did not comply. The aircraft eventually returned to the gate, and the family deplaned.  The parents were informed that non-compliance with safety regulations would result in being removed from the aircraft, which ultimately occurred.",passenger-related issues
1763892,Flight Attendant,Other,"The incident occurred during a flight, approximately one hour and 30 minutes before landing. A passenger exhibited misconduct by not adhering to the face covering policy and disturbing other passengers. The flight attendant was informed and initially sought more information but later learned the situation had been resolved. However, upon approach to landing, the passenger again caused a disturbance by leaving their seat. The flight attendant then requested ground personnel to meet the aircraft. The passenger was escorted to the terminal without further incident. As a result, the flight attendant decided to enhance monitoring of passenger behavior during boarding and involve additional resources, such as the dispatcher, to prevent future incidents.",passenger-related issues
1765287,Flight Attendant,Other,"During a flight, a flight attendant encountered two passenger requests that led to a challenging situation. First, a passenger sought a different seat due to discomfort sitting next to someone unknown. The flight attendant attempted to find an alternative but found none available. Second, another passenger's seat would not recline, as it was located in front of an exit row. The flight attendant explained this and suggested a later flight option, as no other seats were available. While managing these requests, the flight attendant neglected to brief the exit row passengers, a crucial safety procedure. Mid-flight, she realized this oversight and promptly briefed the exit row passengers, who agreed to their seats. The cause of the incident was attributed to work overload from handling multiple requests simultaneously. The flight attendant resolved the issue by briefing the exit row passengers mid-flight, ensuring safety standards were met. This incident underscores the importance of balancing multiple tasks and adhering to safety protocols, even under pressure.",passenger-related issues
1767894,Flight Attendant,Other,"The incident involved a flight attendant (Party1) and a passenger (Party2). The passenger, a young man with a chronic cough and asthma, was seated in seat X6 without a mask. His father was also present. The attendant requested the passenger to wear a mask per policy, explaining that the father cited asthma as a reason. The father mentioned the inhaler was in the overhead bin but declined help retrieving it. Twenty minutes later, the attendant noticed the passenger still wasn't wearing a mask and asked again. The passenger became agitated, asked for the attendant's name, and threatened to write a disparaging letter. Despite the attendant's reminders, the passenger remained unmasked throughout the flight. The attendant reported the incident, noting no policy exceptions for unmasked passengers over 2 years old. The outcome was the passenger's non-compliance and the attendant's report.",passenger-related issues
1769357,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger over mask compliance during a two-hour flight. The flight attendant repeatedly requested the passenger to wear their mask properly, making four passenger announcements and having the pilots make an additional announcement. Despite these efforts, the passenger removed their mask entirely once airborne. The flight attendant observed that the extensive food service provided during the flight made it difficult to enforce the mask policy, as the passenger frequently ate and removed their mask. The attendant was unable to issue warnings due to the passenger's consistent eating behavior. The passenger did not comply until the flight was cleaning up at 10,000 feet. The flight attendant suggested reevaluating the amount of food served to facilitate better adherence to mask policies.",passenger-related issues
1769363,Flight Attendant,Ground Personnel,"The incident occurred due to technical difficulties faced by the flight attendant, who was unable to communicate with ground personnel because her tablet malfunctioned and there were no available jet bridge or plane phones. This communication breakdown led to a delay in providing an aisle chair for a connecting passenger, causing three passengers to remain on the aircraft longer than expected. The flight attendant expressed regret for the delay and suggested that ensuring access to jet bridge phone numbers could prevent future issues. To address the communication challenges, it was recommended that every flight be equipped with jet bridge phone numbers to facilitate timely communication with ground agents, thereby improving customer service and ensuring timely passenger deplaning.",passenger-related issues
1773377,Flight Attendant,Other,"The incident involved a flight attendant addressing multiple instances of non-compliance with the face mask policy during a flight. The primary cause was several passengers, including a commuting pilot, not adhering to the mask requirements. During the boarding and pre-flight processes, the flight attendant noticed that some individuals, particularly in the exit rows and front sections of the aircraft, had their masks down or off. These included a pilot who initially had his mask around his chin and a passenger seated behind him who had his mask completely off. The flight attendant reminded these individuals to properly wear their masks, and most complied after being asked. A passenger originally seated in a different area moved herself to an exit row, citing concerns about the lack of mask compliance in her original seat area. She later explained that she was stressed and had relocated due to the pilot's mask policy violation. The flight attendant apologized for the situation, provided a voucher, and offered refreshments to the passenger, who appeared calmer afterward. The flight attendant also addressed the commuting pilot again during the flight, reminding him of the importance of mask compliance. The pilot complied after the reminder, and the flight attendant confirmed with the flight deck that the pilot had adhered to the policy post-reminder. The incident was resolved through the flight attendant's reminders and communication with the affected individuals, and no further issues were reported during the flight.",passenger-related issues
1774104,Flight Attendant,Other,"The incident involved a passenger (Passenger A) seated in [seat] X3 who repeatedly failed to comply with the airline's COVID-19 mask policy during the flight. Flight Attendants, including A, B, D, and F, made multiple requests for Passenger A to properly wear his mask. Despite these requests, Passenger A was observed pulling his mask below his nose multiple times, including after being reminded by the crew. The crew discussed issuing a warning but did not do so due to safety concerns during descent. Passenger A's non-compliant behavior was noted, and it was anticipated that he may cause similar issues on future flights. No formal action was taken during the flight, but the crew expressed concern about his behavior and the potential for future non-compliance.",passenger-related issues
1774109,Flight Attendant,Other,"The incident occurred when a flight attendant encountered multiple passengers who refused to comply with the face mask policy on board the aircraft. The first passenger, seated in XX1, was observed with her mask below her nose and did not adhere to requests to properly cover her nose and mouth. She questioned the oxygen policy, prompting the flight attendant to inquire if she required an oxygen canister, which she did not provide. Another passenger in seat YY1 similarly failed to comply with mask requirements, despite repeated requests. The flight attendant contacted the captain, who in turn reached out to a supervisor to address the situation. A passenger attempting to sit in the incorrect seat (XX2) was redirected to his assigned seat, which he complied with. However, another passenger in seat YY2 became confrontational, invading the flight attendant's personal space and expressing dissatisfaction with her approach. The flight attendant informed the passengers that those not complying with mask policies would be removed, and she summoned the captain again. Paramedics arrived and removed the passenger in seat ZZ1 from the flight. The station manager later arrived and was informed that the passengers in seats YY1 and YY2 needed to be removed for mask non-compliance and interference with crew duties. As a result, all identified passengers were removed from the flight, allowing the journey to continue safely. The solution involved ensuring compliance with mask policies and addressing interference with crew duties through passenger removal.",passenger-related issues
1777423,Flight Crew,Flight Attendant,"During a flight operated by the air carrier, a passenger exhibited non-compliance with the mask policy and disruptive behavior, leading to multiple interruptions and communication with the company. The incident began during boarding when the passenger boarded without a mask, was reminded by the flight attendant (FA), and reluctantly complied. However, the passenger cursed the FA after she turned away. The FA informed the flight crew, and the captain was informed. The captain assessed the situation, determined it was under control, and communicated with dispatch to keep them informed. The flight proceeded, but the passenger became disruptive again mid-flight, refusing to wear the mask and claiming to be ""drinking"" to avoid it. The FAs allowed this for about 30 minutes, but the passenger did not drink. When the passenger continued to be non-compliant, the FAs repeatedly asked her to wear the mask, prompting the captain to request a customer service representative and security. The passenger eventually screamed and flipped off the FAs, leading the captain to message dispatch again and request security. Despite the passenger's disruptive behavior, no emergency was declared. The flight continued to its destination, and upon landing, security and a customer service representative were present. The passenger was removed from the aircraft by the customer service representative. The FAs did not suspect the passenger was intoxicated but believed she was disturbed. The crew agreed that earlier intervention, such as involving security or a customer service representative, could have been warranted due to the initial name-calling.",passenger-related issues
1780803,Flight Attendant,Other,"The incident arose due to Passengers X and Y, along with their daughter, refusing to comply with the face mask policy throughout the flight. Despite being asked multiple times, they disregarded the flight attendant's instructions, leaving their masks improperly positioned or removed. The flight attendant repeatedly requested the passengers to adhere to the mask policy. Initially compliant, they later ignored these requests, continuing to lower their masks and touch their faces. During final compliance checks before landing, the passengers again refused to comply, citing an ear issue. The attendant suggested a workaround, but they refused, leading to a refusal to comply during landing. The attendant recommended adding the passengers to a non-compliance list. The passengers were reported for non-compliance, but no immediate action could be taken due to the flight's final stage. The incident highlights the need for consistent enforcement of mask policies and underscores the importance of passenger cooperation.",passenger-related issues
1781086,Flight Attendant,Ground Personnel,"The incident involved a Flight Attendant (Party 1) who failed to provide a required one-on-one safety briefing to a visually impaired passenger (PAX) onboard the flight. The PAX was listed in the passenger manifest as needing a wheelchair and being blind, but the Flight Attendant was unaware of this until reviewing the manifest toward the end of the flight. This oversight occurred despite the manifest indicating the PAX's visual impairment. The Flight Attendant did not receive any communication from the gate agent or ground personnel about the PAX's condition. During the flight, standard safety briefings were conducted, but no special briefing was provided to the visually impaired passenger. Upon realizing the mistake during descent, the Flight Attendant briefly spoke with the PAX, who appeared to manage without assistance. After landing, the PAX deplaned independently, using only a simple walking cane, and declined the wheelchair assistance offered. The Flight Attendant reported the incident to the Captain, who advised filing a report due to the missed safety briefing, which is a regulatory requirement. The Flight Attendant expressed concern about the potential safety risks and acknowledged the need for improved communication and proactive verification of special assistance passengers. They proposed strengthening training for both flight attendants and ground personnel to better identify and address the needs of visually impaired passengers. Additionally, the Flight Attendant emphasized the importance of reviewing the passenger manifest before boarding and proactively confirming special assistance requirements with ground staff.",passenger-related issues
1782122,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a group of passengers who refused to comply with the face mask policy during a nearly two-hour flight. The flight attendant reported that the group, part of an organization, repeatedly ignored mask requirements and laughed or mocked attempts to enforce the policy. Despite multiple attempts by the flight attendant and their colleague to address the issue with both individual passengers and adult leaders of the group, compliance was not achieved. The flight attendant requested that the offending passengers be denied further transportation upon landing, but this request was not granted by leadership in ZZZ. As a result, the group was allowed to continue on their next flight.",passenger-related issues
1782133,Flight Attendant,Other,"The incident involved a flight attendant addressing a passenger's non-compliance with the face mask policy during the flight. The passenger, identified as Passenger X, was first observed without a mask and coughing, prompting the attendant to wake him and ensure he wore his mask. However, approximately 30 minutes before landing, the attendant found Passenger X again without a mask, with headphones on, ignoring attempts to rouse him. Despite evidence suggesting intentional non-compliance, Passenger X eventually complied after the attendant physically adjusted his seat and reiterated the mask requirement. Notably, Passenger X removed his mask upon exiting the aircraft. The attendant suspected prior instances of similar behavior and documented the incident to facilitate future reference if recurrence occurs. The summary highlights the passenger's intentional disregard for the policy, the attendant's repeated attempts to enforce compliance, and the eventual, albeit partial, resolution of the issue.",passenger-related issues
1782320,Flight Attendant,Other,"A incident occurred on Aircraft X involving a flight attendant and a passenger, Passenger X. The flight attendant requested Passenger X to properly wear his face mask, as per the face mask policy. Passenger X responded defensively, claiming he was drinking coffee, but no coffee was observed, and he did not dispose of any waste during the trash pickup. When asked, Passenger X inquired if there was a mask that allowed drinking, speaking in a condescending tone. The flight attendant declined and moved away. Following door closure, Passenger X began using his phone, ignoring repeated requests to stop. Despite the captain's announcement to switch devices to airplane mode, Passenger X continued the call until completion. His non-compliance and dismissive behavior posed a potential risk in the event of an emergency. No immediate solution was proposed in the context.",passenger-related issues
