ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,assigned_labels
1756365,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1756365,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,,1756368.0,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,,Environment - Non Weather Related; Company Policy; Human Factors,Human Factors,Woman and her X-year old child boarded the aircraft; child was not wearing a mask and gate agents let us know that they have asked the mom and child to wear the mask multiple times. My other FA moved the passenger in row XX up so we could move the mother and child towards the back; hoping to make other guests happy; and to avoid complaints about the child not wearing a mask. During compliance; child is still not wearing a mask. FA offers a cookie trying to convince the child to wear a mask. Mother of child informs us she screams and cries when she wears it. Asked Customer Service lead to give a final warning to mother. Was a very uncomfortable situation as we witnessed the mother begin to pull out her phone. Mother was very upset. FA and I tried our best to assure the mother that we realize these times are hard and confusing and we empathize with her for her situation as it was tough for all of us. They both seemed to be happy towards end of flight as we provided snack and beverages to ease the situation.I do not think we should enforce young children to wear masks. Child could possibly have disability and be unable to wear the mask. We are unaware of the family's situation and it is very hard to enforce grown adults to wear masks; let alone young children who don't understand what is going on.,,Passenger came onboard with X-year old child not wearing a mask. Gate agent tells me they were told to put it on and the child was screaming. I go to the back with a cookie and kindly ask if she can put her mask on and the mom tries to put it on and the child refuses. I asked if she is willing to sit in row XX so she wouldn't be near any of the other passengers. I moved passengers that were within 3 rows away from the mom and child. The mom looked stressed and her eyes were red. I know our policy is black and white regarding our process and removing a passenger. I felt like moving the passenger was the best thing to do; as I did not want this to turn into another public nightmare. I also asked if anybody felt uncomfortable with the small child taking the mask off at times while she is sitting far from everybody else and they all agreed it was OK. I told Captain the situation and they called a duty officer on their behalf to clear us to leave. The reason for making the exception made sense. She was at least 3 rows away from the nearest person; we avoided a meltdown; she was getting her camera ready and the bathroom in the back was inop so we knew nobody would go back there. I believe no further action was needed. We got guidance on the full procedure from our pilots and everyone was extremely grateful for a resolution to make everyone happy onboard.We need a better mask policy for children; especially if they might have a disability.,,Flight attendants reported that a child was unable to wear a face mask due to crying; resulting in a stressful situation. The child and parent were reseated and the situation was resolved.,"The incident occurred when a mother and her X-year-old child boarded the aircraft without the child wearing a mask. Despite the gate agents informing the mother that the child needed to wear a mask, the child refused, and the mother was unable to comply due to the child's distress. The flight attendant attempted to resolve the situation by offering a cookie to the child and moving the mother and child to a different seat to minimize discomfort for other passengers. The mother, who appeared stressed and emotional, was empathized with by the flight attendant, who acknowledged the challenges of the situation. The flight attendant also questioned the enforceability of mask policies for young children, especially those who may have disabilities. The situation was ultimately resolved without further action, as the mother and child were reseated away from other passengers, and the flight attendant sought guidance from the captain and duty officer. The flight attendant proposed the need for a more flexible mask policy for children, particularly those with disabilities.","mask policy, health and medical issues, between attendant and passengers, between attendant and crew"
1756370,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Safety Related Duties; Service,Distraction; Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1756370,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,All passengers in this party did not comply with mask policy.  They were not eating or drinking and had to be reminded to put their mask on.  They would put a beverage on their tray and not be drinking but say they were actively drinking just; so they would not have to wear their mask.  The children rang their call button over and over wanting more items.  When the crew would approach we'd have to ask them to put their mask on.  We had repeated interactions with this whole family.  Again; most times their mask was off or not covering their nose.  PA's were made to remind guests of our mask policy.  They blatantly disregarded under the guise of drinking; or a few members would go by to gather trash they might put it on but take it off the moment we passed with trash.  This is a safety risk to others onboard and crew. They should not be allowed to fly with us if they cannot follow the CDC guidelines for everyone's safety.  Once the mask requirement is gone then they can fly with us.  We need to make a hard stance on this issue.,,,,Flight Attendant reported a family was not wearing face masks and had to be reminded often during flight.,"The incident involved a conflict between a flight attendant and a family of passengers who did not comply with the mask policy during the flight. The family frequently removed their masks, sometimes claiming they were drinking, despite not actually drinking. The flight attendant repeatedly reminded them of the policy, but they disregarded it, often putting their masks on only when crew were nearby and removing them afterward. This behavior posed a safety risk, leading the flight attendant to recommend a strict enforcement of CDC guidelines, suggesting the family should not fly until they comply.","mask policy, safety related, between attendant and passengers"
1756372,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Boarding; Safety Related Duties; Service,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1756372,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate; In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Passenger X boarded without his mask over his nose.  I told him nicely to put it over his nose.  He rolled his eyes at me put it on and walked to his seat and defiantly pulled it down again.  Several other members of his party did the same.  I let A [FA] know.  A FA went over and politely but firmly told them of our policy and that mask use over their nose and mouth is a requirement to fly.  They put it on but would slip it down just enough to be questionable.  They were upset with us for asking them to comply.  It was a quick flight from ZZZ-ZZZ1 so we couldn't safely keep going back to check and remind.  They need a good reminder of our policy and that we are just here to keep them and everyone else on board safe. A FA had let the agent know as well before we had finished boarding just in case.Passengers in party need a reminder on our mask policy and agree to adhere to it or not fly until the requirement is not in place.,,,,Flight Attendant reported a group of passengers not wearing face masks during flight.,"A group of passengers, including Passenger X, boarded a flight without their face masks properly covering both their nose and mouth. The flight attendant initially requested compliance with the mask policy, but the passengers complied reluctantly, only to remove the masks again after seating. The attendant informed another crew member, who reinforced the policy, but the passengers continued to defy the rules, albeit partially covering their faces. Due to the flight's short duration, the crew was limited in their ability to monitor compliance. The flight attendant suggested that passengers either adhere to the policy or refrain from flying until the requirement is lifted. Additionally, the attendant notified ground staff before boarding was completed.","mask policy, safety related, between attendant and passengers"
1756894,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1756894,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors; Company Policy; Environment - Non Weather Related,Human Factors,Today I had a passenger that would put on his mask when told then he would take it off. When boarding I did not notice if he was wearing a mask or not but kindly a passenger on board notified me that he was not wearing a mask and by the looks of it she had told him and he wouldn't listen so I kindly asked him to put on a mask but he didn't have one so I gave him one. After boarding was complete and the door was closed I did all my walk throughs and everything was good. While up in the air I did my service announcement which is telling passengers that I won't be doing a service and that a mask must be worn during the entire flight; I did the mask announcement twice before departure and while in the air...I just sat during the flight until it was time to do the final approach announcement. I walked back to collect any garbage and I noticed that he was sleeping and did not have his mask on. I kindly told him again that he needed to have his mask on. He put it on and I kept walking. The same passenger that had notified me the first time that he didn't have a mask is a Company X employee. She showed me her badge and said that he hadn't had his mask the entire flight and that she would report the flight because I did not do anything. I told her that that was OK. I walked back to the galley; threw out the trash and walked back to do my compliance check and the passenger had removed his mask I told him that he needed to put it on again this time more strictly. I walked to my jumpseat and got ready for landing. While deplaning this passenger did not have his mask on. I'm not sure what I was supposed to do in this situation. I did not notify the Captain because we were landing in a few and [the passenger] was not verbally rude or aggressive.I do not think it is my fault that a passenger refused to wear his mask; I did all the right announcements and helped him with a mask and asked him a couple times to put it on.,,,,Flight Attendant reported that a passenger was not being compliant with wearing a face mask during the flight.,"A conflict occurred between a flight attendant (Party 1) and a passenger (Party 2) regarding compliance with face mask regulations during a flight. The incident began when a passenger was observed not wearing a face mask despite being reminded to do so. A fellow passenger (later identified as a Company X employee) notified the flight attendant of the non-compliance. The flight attendant provided a face mask to the passenger and requested that it be worn. The passenger complied initially but later removed the mask during the flight, despite the flight attendant's reminders. The flight attendant made multiple announcements regarding the mask requirement, including during pre-flight and in-flight safety briefings. However, the passenger continued to remove the mask, particularly while sleeping. The flight attendant repeatedly asked the passenger to wear the mask, including during a compliance check before landing. Despite these efforts, the passenger did not adhere to the mask policy. Upon deplaning, the passenger was again observed without a mask. The flight attendant did not notify the captain, as the passenger did not exhibit aggressive behavior, and the flight was nearing its conclusion. The flight attendant expressed uncertainty about the appropriate actions to take in the situation and did not believe the passenger's non-compliance was her fault, as she had followed established procedures. The incident resulted in the passenger's repeated non-compliance with mask regulations, despite multiple reminders and interventions by the flight attendant. The Company X employee who had reported the issue to the flight attendant indicated that she would file a report regarding the flight. The flight attendant did not take further action, as the passenger did not display aggression or disrupt the flight.","safety related, mask policy, between attendant and passengers"
1757028,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Distraction; Communication Breakdown; Time Pressure,Party1 Flight Attendant; Party2 Flight Attendant,1757028,Aircraft X,General Seating Area,,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Time Pressure; Communication Breakdown; Distraction,Party1 Flight Attendant; Party2 Flight Attendant,,1757568.0,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Environment - Non Weather Related,Human Factors,[I was] advised by C Flight Attendant to do a report. Commuting Flight Attendant told her that cabin was not secure for pushback. I know we had an issue with 2 little kids in the back not wanting to wear the face masks; but it was addressed and in compliance before taking off.,,As I was cleaning the cabin during deplaning in ZZZ; a commuting Flight Attendant (FA) in the aft cabin asked me a question. His words were muffled by his face mask; but I thought he was just making conversation and asking if we had an aircraft swap in ZZZ. I shook my head no and continued my duties. After conferring with the other FAs; I realized he was probably asking me if I was going to submit a report since he told them the cabin was not secure at pushback.I was at the over wing exit in position for the emergency demonstration at pushback and could not see the aft cabin except something that may have happened in the aisle or above seat level at that time. I saw nothing amiss and; I do know what he was referring to as insecure.During the oxygen mask demo portion of the briefing; I did have a COVID face mask challenge with a family with two young boys sitting in the back of the aircraft.,,Flight Attendant crew reported parents with small children were having problems with the children complying with the face mask policy.,"The incident involved a conflict between two flight attendants regarding the compliance of a family with two young children in wearing face masks during a flight. The cabin safety was addressed, and the issue was resolved before takeoff, ensuring compliance. However, one flight attendant advised filing a report, while the other dismissed it as secure. The outcome highlighted the challenge in enforcing the face mask policy with young children, which was noted but deemed compliant prior to departure.","between attendant and crew, mask policy"
1757033,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Safety Related Duties; Service,Distraction; Communication Breakdown; Workload,Party1 Flight Attendant; Party2 Other,1757033,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,I was the Purser on flight. During boarding and after takeoff; all required announcements including the announcement regarding the wearing of face masks were made.  As I took meal orders; I observed the Passenger X; [was] not wearing a face mask.  I advised her of the mask policy when I took her lunch preference.After takeoff; I once again observed that she was not wearing her mask.  The primary service was being served; so I decided I would monitor her for compliance once the meal service was complete.As I did a final pickup; I once again observed Passenger X not in compliance with the mask policy.  She was sitting in her seat; not consuming any food or beverages; and her mask was laying next to her seat. I made an additional PA regarding the mandatory mask policy hoping she would hear the PA and comply.  I waited approximately 10-15 minutes to see if she would wear her mask.   I approached her and said; 'Hello again; I'm the purser on today's flight.  I know I reminded you earlier about the mask; please understand that it is a requirement that it be worn unless you are actively eating food or drinking a beverage.'  She rolled her eyes and said; 'I am drinking;' as she held an empty blue plastic cup at her chin.  I explained to her that I had observed her not wearing the mask since prior to takeoff and that I needed her to comply for everyone's safety.  As I turned to walk away; she took the mask and threw it in the aisle. I looked at the manifest and discovered that Passenger X was a non-revenue passenger.I contacted the cockpit to advise the Captain of the situation.  The Captain advised me to inform Passenger X that she must comply with the mask wearing policy.  If she refused; he was going to have the aircraft met upon arrival in ZZZ1.  I retrieved one of the mask policy slips that explains the mask policy and once again approached Passenger X.  I asked her to confirm her last name as I wanted to be certain that it was truly her occupying seat XA.  She confirmed her identity as well as confirmed that she was traveling as a non-revenue passenger.  I gave her the form and explained in great detail that failure to comply with the mask policy would likely result in severe disciplinary action. I explained that the policy is mandatory and that the Captain wanted me to inform her that failure to comply would result in the aircraft being met upon arrival in ZZZ1.  She had requested more alcohol to drink so I informed her that the Captain and I had made the decision to not serve her anymore alcohol since she was being belligerent.  She put her hand up towards my face; shook her head and said 'really? This is so messed up. %$#%#!  (Yes; she used the %$#%# [language] towards me) The mask that she pushed into the aisle was still there so I had another mask with me as I didn't want her to wear a mask that had been in contact with the floor.  I asked her if she would like a clean mask. She accepted my offer of a mask.  I then informed her that I would pass along to the Captain how she responded.The FO exited the cockpit for a break shortly after my conversation with Passenger X.  FO also observed Passenger X sitting in seat XA without wearing her mask.  I once again contacted the cockpit and advised the Captain that Passenger X was still refusing to comply and that FO also witnessed her being non-compliant. Shortly after FO went on her break; I observed Passenger X put her mask on the right of her seat and pull the blanket up over her head.  She kept her head covered until we prepared the cabin for landing.  As we did final safety checks; I observed her remove the blanket from her head.  She was not wearing a mask the entire time she had her head under the blanket.Upon arrival in ZZZ1; the plane was met by two Customer Service Managers as well as In-flight Supervisor.  I explained the situation to all three ladies and I identified Passenger X as she exited the aircraft.,,,,Flight Attendant reported a passenger was non-compliant with face mask policy.,"The incident occurred when a passenger (Passenger X) repeatedly failed to comply with the face mask policy on a flight. The flight attendant (Purser) made multiple announcements regarding the mask requirement during boarding and after takeoff. Despite these reminders, Passenger X was observed not wearing a mask on several occasions. The flight attendant approached her multiple times, including offering a clean mask, but Passenger X became confrontational, refused to comply, and used inappropriate language. The flight attendant informed the cockpit, and the captain threatened to have the aircraft met upon arrival. Passenger X eventually covered her head with a blanket but did not wear the mask. Upon landing, the plane was met by customer service managers and an in-flight supervisor, and the flight attendant identified Passenger X as she exited the aircraft.","mask policy, disruptive, between attendant and passengers"
1757249,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Situational Awareness; Workload,Party1 Flight Attendant; Party2 Flight Crew; Party2 Other,1757249,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Passenger in X6; Mr. A; did not want to comply with mask policy and refused to stop his conversation on his phone when we [were] getting ready for pushback. He got very loud and ornery with me. I went to inform the Captain about the situation and the passenger's behavior and the Captain turned me and said 'what do you want me to do about it.' I was shocked at his response. I figured he was not going to give any support to the situation so I just turned and walked out of the flight deck. Another crew member told me that Mr. A gave him attitude also. At this point I felt that the Captain was not going to give us any support to the situation so I briefed the rest of the flight attendants to not address Mr. A. about wearing his mask so that we would not have a bad situation happen inflight. I put the face mask policy on Mr. A's console and left the situation alone after that. Mr. A. did not wear his mask at all during the flight.,,,,Flight Attendant reported passenger refused to comply with the face mask policy.,"The incident began when a passenger, Mr. A, refused to comply with the face mask policy during the flight preparation. He disregarded the policy and continued using his phone, becoming loud and aggressive towards the flight attendant. The flight attendant sought the captain's support but received a questioning response, feeling unsupported. As a result, she instructed the crew to avoid confronting Mr. A to prevent further issues. Despite these efforts, Mr. A did not wear his mask during the flight. The flight attendant reported the situation, highlighting Mr. A's non-compliance.","between attendant and passengers, mask policy, crew-related issues, disruptive, operational issues"
1757565,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Boarding; Safety Related Duties; Service,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1757565,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Environment - Non Weather Related; Company Policy; Human Factors,Human Factors,I had a Deadheading (DH) pilot and Non-Revenue (NR) Pilot boarding at different times ID's on and refusing to wear masks. I asked both if they could please use their masks; both refused saying they were actively drinking!I addressed the NR Pilot's X type wrap he had primarily around his shoulder; when I asked him to place it on [he] refused. I shared the requirements that went into effect. He said it does [meet the requirements]. Plus it looked like it was a weave similar to what we used to wear as kids to cover our mouths and neck in the Midwest winters. Not a tight weave at all. I looked up the policy. It didn't say much about weave; so I went and apologized to him; only to have my head bit off more.This walking; talking while holding a cup of coffee is not actively drinking. The only ACTIVE action is their germs being spread over the area and on us. Also showing passengers how to circumvent the procedure.DH Pilot only had mask on for takeoff; but did not cover his nose. When I did my walk through I asked to have it please place over his mouth. He slumped down in his seat I was unable to see if complied with keeping his nose covered. The NR did not use mask until we were taxing into ZZZ.Both kept using their drink and very very slowly eating as an excuse not to comply. NR Pilot after landing PA and I did my walkthrough had his bag pulled out from under his seat and had his iPad placed on top and was watching his program; mask off. I asked my B to handle it I didn't think my asking him to comply was the proper thing to do. She did; he moved his bag. B relayed to me later he said he was mad that everyone gives him a hassle about his wrap.I did all I was able to do. Tools are not in place to handle these situations.,,,,Flight attendant reported a deadheading pilot and a non-revenue pilot refused to follow face mask policy.,"The incident occurred when a flight attendant encountered resistance from a Deadheading (DH) pilot and a Non-Revenue (NR) pilot regarding the face mask policy. The pilots initially refused to wear masks, citing active drinking as their reason, though the flight attendant argued that their actions did not constitute active drinking. The NR Pilot also wore a wrap that did not meet the required standards, leading the flight attendant to check the policy, which lacked specific details on weave. Despite her apology, the NR Pilot remained non-compliant. The DH Pilot complied with the mask policy only during takeoff, failing to cover his nose, and slumped during a walkthrough, making it unclear if he adhered to the policy. The NR Pilot delayed compliance until the aircraft was taxing. Both pilots used their activities as excuses, with the NR Pilot becoming upset when addressed by another crew member. The flight attendant attempted to resolve the issues but lacked sufficient tools or authority, resulting in unresolved non-compliance by the pilots. The incident highlights the challenges faced in enforcing policies without adequate support.","mask policy, between attendant and crew"
1757580,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Boarding; Safety Related Duties; Service,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1757580,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,On Aircraft X there were passengers that had masks on when they boarded but then immediately took their masks off and sipped on water bottles the whole flight and didn't wear their mask.  I couldn't see their faces.  I noticed during service that they were drinking their water; so I didn't say anything but after we secured the cabin for landing (we had to do it early because the Captain was anticipating turbulence); Flight Attendant Y called me and told me that they didn't have their masks on and that one of the passengers moved from their original seat forward to sit with his friend and we didn't catch it until it was close to landing and it wouldn't have been safe for us to get out of our seats to talk to him and I didn't want him to get up and move back to his original seat either for safety reasons. What do you suggest is the proper way to handle people that won't wear their mask and act like they're drinking water the whole flight?,,,,Flight attendant reported passengers did not comply with the face mask policy during flight.,"The incident occurred on Aircraft X during a flight when passengers removed their face masks immediately after boarding and drank water throughout the flight, violating the face mask policy. The flight attendant, Party1, observed this behavior but initially chose not to intervene. However, during the cabin preparation for landing, which was expedited due to anticipated turbulence, the flight attendant noticed one passenger had moved seats to sit with a friend. She was concerned about approaching the passenger safely, given the proximity to landing. The flight attendant sought advice on how to handle passengers who refuse to comply with mask policies.","safety related, crew-related issues, passenger-related issues, operational issues, mask policy, between attendant and passengers"
1757583,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1757583,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,,1757585.0,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Other Person,Aircraft In Service At Gate,General None Reported / Taken,Company Policy; Human Factors; Environment - Non Weather Related,Human Factors,Gate agent in ZZZ notified me that passenger was not complying with the mask wearing. He would put it up (handkerchief) over his mouth then let it fall down when she walked away. I talked to him before shutting the door informing him of our policy and that he would not be allowed to fly if he didn't wear his mask. He was surly saying he was getting ready to eat. He said he would wear it when he wasn't eating. He continued to keep it down around his neck; only lifting it up over his mouth when we did our checks throughout the flight. I again told him he wouldn't be allowed to fly on his connecting flight if he didn't comply. He informed me that I was interfering with his constitutional rights. I said you have a right to refuse to wear a mask. The company also has the right to deny your passage on the flight. He said fine-he didn't need to go to ZZZ1 Traveling with a woman and 2 children.,,[Report narrative contained no additional information.],,Flight attendants reported a customer service agent advised them a passenger was not complying with face mask policy.,"The incident occurred when a passenger failed to comply with the face mask policy on a flight. A gate agent in ZZZ informed the flight attendant about the passenger's non-compliance. The passenger intermittently wore a handkerchief as a mask but often let it fall, especially when the gate agent was not present. The flight attendant addressed the passenger before departure, explaining the policy and the risk of denied boarding. The passenger argued he was eating and only needed to wear the mask when not eating, continuing to keep it down during the flight. Despite repeated warnings, the passenger persisted, leading the flight attendant to inform him of potential denial of his connecting flight. The passenger protested, claiming interference with his rights, but the flight attendant stated the company's right to deny passage. The passenger eventually chose not to continue his journey, resulting in his denial of boarding. The outcome was the passenger's decision to not proceed to ZZZ, traveling with a woman and two children.","safety related, mask policy, passenger-related issues, between attendant and passengers"
1757896,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Distraction; Time Pressure,Party1 Flight Attendant; Party2 Other,1757896,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors; Procedure,Human Factors,We had a DH at the beginning of our day that was an hour and fifteen minutes late and then an aircraft swap after that. The inbound crew stayed and boarded our passenger; so the plane was full when we arrived. We were rushed to make announcements and pushback. I got distracted by the rush and all the new COVID and mask PA's and I said the old safety demo PA.,,,,Flight Attendant reported that an old version of the safety demo was presented due to being rushed.,"The flight attendant was distracted due to a 1-hour and 15-minute delay, followed by an aircraft swap, leading to a rushed departure preparation. While preparing for the flight, the attendant focused on COVID-related announcements, mistakenly using an outdated safety demonstration instead of the current one. The error was reported, highlighting the need for crew efficiency under time constraints. No specific solution was proposed in the documentation.","crew-related issues, operational issues, training, safety related, between attendant and crew"
1757908,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Situational Awareness; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1757908,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors; Environment - Non Weather Related; Company Policy,Human Factors,Passenger in [seat] X3 yelled at FA while FA was doing beverage service because he was upset I asked passenger in [seat] Y1 to wear his mask while not actively eating or drinking. Which then caused other passengers to speak up on FA behalf. FA A had asked passenger in Y1 twice already to wear his mask when he walked on and wore it as an eye mask and when he took his seat. I told him 'I'm going to ask one last time for you to wear your mask; and they will also ask you while connecting to ZZZ1 to wear it.' He put his mask on and I continued service. When I got to X3 he began yelling and asking me how I didn't know the gentleman didn't have a heart condition. I stated it was policy to wear masks regardless and unless specified. He said I was wrong and too authoritative to the gentleman. I calmly stated 'Okay; sir' and continued to do my service. The rest of the flight went fine and no other words were exchanged. Give FA material stating policy explicitly so they can hand material to questioning guests. Passenger in X3 should be suspended for being rude and causing commotion.,,,,Flight Attendant reported having to tell one passenger to wear a face mask while another passenger spoke up to the Flight Attendant.,"The incident occurred during a flight when a flight attendant (FA) requested a passenger in seat Y1 to wear a face mask, as per policy. The passenger initially refused, but complied after being reminded twice, including a final request. Later, another passenger in seat X3 became upset when the FA asked the same passenger in Y1 to wear the mask. The passenger in X3 loudly questioned the FA's authority and claimed the passenger in Y1 had a heart condition, which the FA addressed by calmly reiterating the policy. Other passengers intervened to support the FA. The situation was resolved without further issues, and the flight continued smoothly. The FA suggested providing explicit policy material to passengers with questions, and the passenger in X3 was recommended for suspension due to their disruptive behavior.","mask policy, disruptive, between attendant and passengers"
1757910,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1757910,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,,1757914.0,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Crew,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors; Procedure,Human Factors,Guest noted with mask not over nose. Was asked to bring mask over nose in compliance with policy. He gave some body language he was not pleased; but he appeared to bring the mask up. Requested FA B to check as she worked on compliance to ensure passenger's mask was properly donned. It appeared it came down again. During demo he leaned his head in so I did not have a clear view but requested a third time for guest to adhere to the policy of the nose being fully covered. He expressed concern he had trouble seeing. I apologized but thanked him for adherence to the policy indicating it is not fun for anyone. Prior to taxi FA B and I discussed what the next steps would be as this had been the third request for compliance already. I relayed what appeared to be the root of the issue and we concurred if he had his mask properly donned no further action would be needed.Please have the gate engage with guests before they are allowed to board: 95% of the issues could be resolved if this was followed. Having FA's be the last line is really not great during the pandemic and it appears gate partners are no longer actively enforcing the policy change that occurred on [date].,,Passenger was notified by both FA A and B to cover nose with face covering. For final compliance guest had nose covered.,,Flight attendants reported a passenger was not complying with wearing a face mask and had to be told three times to wear it correctly.,"The incident involved a conflict between a flight attendant (FA) and a passenger regarding the proper wearing of a face mask in compliance with policy. The passenger was observed with a mask that did not fully cover the nose. The flight attendant requested compliance multiple times, with the passenger initially appearing reluctant but eventually adjusting the mask. Despite this, the mask appeared to slip down again, prompting a third request. The passenger expressed difficulty seeing with the mask but ultimately complied. The flight attendant and another crew member discussed the situation before taxi, noting that such issues could be mitigated if gate staff enforced mask policies before boarding, reducing the burden on flight attendants during the pandemic. The passenger complied with the policy after the third request.","safety related, mask policy, between attendant and passengers, crew-related issues"
